DATA_REGISTRO,CNES,SIGLA,HOSPITAL,QUANTIDADE,Ano,Mês
01/01/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,2160,2020,1
01/01/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,4217,2020,1
01/01/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9082,2020,1
01/01/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3316,2020,1
01/01/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,3018,2020,1
01/01/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4229,2020,1
01/01/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2964,2020,1
01/01/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,2036,2020,1
01/01/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,2160,2020,2
01/01/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,4217,2020,2
01/01/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9082,2020,2
01/01/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3316,2020,2
01/01/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,3018,2020,2
01/01/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4229,2020,2
01/01/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2964,2020,2
01/01/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,2036,2020,2
01/02/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1912,2020,2
01/02/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1803,2020,2
01/02/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2733,2020,2
01/02/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3700,2020,2
01/02/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2665,2020,2
01/02/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9369,2020,2
01/02/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4581,2020,2
01/02/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3045,2020,2
01/01/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,2160,2020,3
01/01/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,4217,2020,3
01/01/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9082,2020,3
01/01/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3316,2020,3
01/01/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,3018,2020,3
01/01/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4229,2020,3
01/01/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2964,2020,3
01/01/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,2036,2020,3
01/02/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9369,2020,3
01/02/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2665,2020,3
01/02/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3045,2020,3
01/02/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2733,2020,3
01/02/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4581,2020,3
01/02/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1803,2020,3
01/02/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3700,2020,3
01/02/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1912,2020,3
01/03/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,10589,2020,3
01/03/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3293,2020,3
01/03/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1825,2020,3
01/03/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2806,2020,3
01/03/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2888,2020,3
01/03/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4498,2020,3
01/03/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2507,2020,3
01/03/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1774,2020,3
01/01/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,2160,2020,4
01/01/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,4217,2020,4
01/01/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9082,2020,4
01/01/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3316,2020,4
01/01/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,3018,2020,4
01/01/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4229,2020,4
01/01/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2964,2020,4
01/01/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,2036,2020,4
01/02/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4581,2020,4
01/02/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2733,2020,4
01/02/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3700,2020,4
01/02/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1912,2020,4
01/02/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2665,2020,4
01/02/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3045,2020,4
01/02/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9369,2020,4
01/02/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1803,2020,4
01/03/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2888,2020,4
01/03/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,10589,2020,4
01/03/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2806,2020,4
01/03/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2507,2020,4
01/03/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4498,2020,4
01/03/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1774,2020,4
01/03/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1825,2020,4
01/03/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3293,2020,4
01/04/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,4021,2020,4
01/04/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1970,2020,4
01/04/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,2662,2020,4
01/04/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1546,2020,4
01/04/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,1532,2020,4
01/04/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1634,2020,4
01/04/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2844,2020,4
01/04/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,2218,2020,4
01/01/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,2160,2020,5
01/01/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,4217,2020,5
01/01/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9082,2020,5
01/01/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3316,2020,5
01/01/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,3018,2020,5
01/01/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4229,2020,5
01/01/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2964,2020,5
01/01/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,2036,2020,5
01/02/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9369,2020,5
01/02/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4581,2020,5
01/02/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1803,2020,5
01/02/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3045,2020,5
01/02/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3700,2020,5
01/02/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1912,2020,5
01/02/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2733,2020,5
01/02/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2665,2020,5
01/03/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2888,2020,5
01/03/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1774,2020,5
01/03/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2806,2020,5
01/03/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4498,2020,5
01/03/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,10589,2020,5
01/03/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3293,2020,5
01/03/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1825,2020,5
01/03/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2507,2020,5
01/04/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,2662,2020,5
01/04/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,4021,2020,5
01/04/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1970,2020,5
01/04/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,1532,2020,5
01/04/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,2218,2020,5
01/04/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1634,2020,5
01/04/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1546,2020,5
01/04/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2844,2020,5
01/05/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3066,2020,5
01/05/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1506,2020,5
01/05/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,3088,2020,5
01/05/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,1879,2020,5
01/05/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1681,2020,5
01/05/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,2664,2020,5
01/05/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3477,2020,5
01/05/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,1465,2020,5
01/01/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9082,2020,6
01/01/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,4217,2020,6
01/01/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,2160,2020,6
01/01/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3316,2020,6
01/01/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,3018,2020,6
01/01/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4229,2020,6
01/01/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2964,2020,6
01/01/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,2036,2020,6
01/02/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3045,2020,6
01/02/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1912,2020,6
01/02/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1803,2020,6
01/02/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2665,2020,6
01/02/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4581,2020,6
01/02/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,9369,2020,6
01/02/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3700,2020,6
01/02/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2733,2020,6
01/03/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3293,2020,6
01/03/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,10589,2020,6
01/03/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2806,2020,6
01/03/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1774,2020,6
01/03/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,2507,2020,6
01/03/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,4498,2020,6
01/03/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2888,2020,6
01/03/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1825,2020,6
01/04/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,2844,2020,6
01/04/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,2218,2020,6
01/04/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,1532,2020,6
01/04/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1546,2020,6
01/04/2020,256368,HIAS,HIAS - HOSPITAL INFANTIL ALBERT SABIN,4021,2020,6
01/04/2020,247921,HM,HM - HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1970,2020,6
01/04/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1634,2020,6
01/04/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,2662,2020,6
01/05/2020,248002,HSM,HSM -  HOSPITAL DE SAUDE MENTAL DE MESSEJANA,1506,2020,6
01/05/2020,249936,HGCC,HGCC - HOSPITAL GERAL DR CESAR CALS,1681,2020,6
01/05/2020,677952,HRC,HRC -  HOSPITAL REGIONAL DO CARIRI,1465,2020,6
01/05/2020,684871,HRN,HRN -  HOSPITAL REGIONAL NORTE,2664,2020,6
01/05/2020,256141,HSJ,HSJ -  HOSPITAL SAO JOSE DE DOENCAS INFECCIOSAS,1879,2020,6
01/05/2020,249765,HGF,HGF - HOSPITAL GERAL DE FORTALEZA,3477,2020,6
